idk2;nazev;zkratka;mena;mnozstvi;cenakc
26 988;  ODPOR SMD 0603 56K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 56K/F 0,1W (V PASU) RoHS                        ;CZK;2;0,0123
20 077;  ODPOR SMD 0603 12K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 12K/F 0,1W (V PASU) RoHS                        ;CZK;2;0,0123
35 951;  ODPOR SMD 0603 18K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 18K/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
26 778;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;CZK;3;0,0123
35 514;  ODPOR SMD 0603 470R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 470R/F 0,1W (V PASU) RoHS                       ;CZK;2;0,0123
35 575;  FERIT MURATA BLM18AG102SN1D (SMD 0603, 1Kohm/400mA) RoHS       ;  FERIT MURATA BLM18AG102SN1D (SMD 0603, 1Kohm/400mA) RoHS       ;CZK;6;0,1925
39 130;  AD8131ARZ (SMD SO-8) RoHS                                      ;  AD8131ARZ (SMD SO-8) RoHS                                      ;CZK;1;50,05
41 906;  OPA656U (SMD SO-8) RoHS                                        ;  OPA656U (SMD SO-8) RoHS                                        ;CZK;1;140,8
41 904;  AD8036ARZ (SMD SO-8) RoHS                                      ;  AD8036ARZ (SMD SO-8) RoHS                                      ;CZK;1;104,55
40 325;  LM393M (SMD SOIC8) RoHS                                        ;  LM393M (SMD SOIC8) RoHS                                        ;CZK;1;5,72825
41 903;  LMC6482IM (SMD SO-8) RoHS                                      ;  LMC6482IM (SMD SO-8) RoHS                                      ;CZK;2;19,05475
40 984;  LQ SMD LGA67K-H2K1-24-Z (PLCC-2, zelená) RoHS                  ;  LQ SMD LGA67K-H2K1-24-Z (PLCC-2, zelená) RoHS                  ;CZK;1;0,9625
41 909;  BSS83  (SMD SOT-143) 10V/50mA  RoHS                            ;  BSS83  (SMD SOT-143) 10V/50mA  RoHS                            ;CZK;5;5,28
41 905;  FDV302P (SMD SOT23) RoHS                                       ;  FDV302P (SMD SOT23) RoHS                                       ;CZK;1;0,9254
29 877;  PMBF170 (SMD SOT23) RoHS                                       ;  PMBF170 (SMD SOT23) RoHS                                       ;CZK;1;0,66825
29 812;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;CZK;2;0,33
42 558;  SSTPAD5 (SMD SOT-23) RoHS,                                     ;  SSTPAD5 (SMD SOT-23) RoHS,                                     ;CZK;2;51,975
41 908;  ZD 0,25W 6,2V BZX84C6V2 (SMD SOT23) RoHS                       ;  ZD 0,25W 6,2V BZX84C6V2 (SMD SOT23) RoHS                       ;CZK;1;0,4964
