id_k2;nazev;zkratka;mena;cena;mnozstvi;
40325;  LM393M (SMD SOIC8) RoHS                                        ;  LM393M (SMD SOIC8) RoHS                                        ;EUR;0,20830;1;
41903;  LMC6482IM (SMD SO-8) RoHS                                      ;  LMC6482IM (SMD SO-8) RoHS                                      ;EUR;0,69290;2;
40984;  LQ SMD LGA67K-H2K1-24-Z (PLCC-2, zelená) RoHS                  ;  LQ SMD LGA67K-H2K1-24-Z (PLCC-2, zelená) RoHS                  ;EUR;0,03500;1;
41909;  BSS83  (SMD SOT-143) 10V/50mA  RoHS                            ;  BSS83  (SMD SOT-143) 10V/50mA  RoHS                            ;EUR;0,19200;5;
41905;  FDV302P (SMD SOT23) RoHS                                       ;  FDV302P (SMD SOT23) RoHS                                       ;CZK;0,92540;1;
29877;  PMBF170 (SMD SOT23) RoHS                                       ;  PMBF170 (SMD SOT23) RoHS                                       ;EUR;0,02430;1;
29812;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;EUR;0,01200;2;
42558;  SSTPAD5 (SMD SOT-23) RoHS,                                     ;  SSTPAD5 (SMD SOT-23) RoHS,                                     ;EUR;1,89000;2;
41908;  ZD 0,25W 6,2V BZX84C6V2 (SMD SOT23) RoHS                       ;  ZD 0,25W 6,2V BZX84C6V2 (SMD SOT23) RoHS                       ;CZK;0,49640;1;
27078;  BAV199 (SMD SOT-23) 85V/0,5A RoHS                              ;  BAV199 (SMD SOT-23) 85V/0,5A RoHS                              ;EUR;0,01400;4;
41884;  ZASUVKA SMB R114665000  (do DPS, 90°)                          ;  ZASUVKA SMB R114665000  (do DPS, 90°)                          ;EUR;2,79000;1;
42482;  CANON 15 VIDLICE DO DPS 90° (FCI D15P13A6GL00LF) RoHS,nedostupn;  CANON 15 VIDLICE DO DPS 90° (FCI D15P13A6GL00LF) RoHS,nedostupn;EUR;1,34000;1;
41287;  ZAPADKA POSUVNÁ 164890-1 160X10169X                            ;  ZAPADKA POSUVNÁ 164890-1 160X10169X                            ;CZK;32,04000;1;
41901;  AMP ZASUVKA FIREWIRE 5787956-1 (do DPS, 90°) RoHS              ;  AMP ZASUVKA FIREWIRE 5787956-1 (do DPS, 90°) RoHS              ;EUR;1,00000;1;
41885;  AMP ZASUVKA BNC 5226990-1 (do DPS, 90°) RoHS                   ;  AMP ZASUVKA BNC 5226990-1 (do DPS, 90°) RoHS                   ;CZK;44,15000;1;
27130; AMP SROUB BNC 221108-2; AMP SROUB BNC 221108-2;CZK;0,22000;2;
